,Unnamed: 0,Énergie,Gras,Gras Saturés,Glucides,Sucre,Fibre,Protéine,Sel,Catégorie
281,McWrap Boeuf & Poivre,585 kcal,"36,00g",-,"36,00g",-,,"29,00g",-,Plat
282,Sauce Bleu Fondu,103 kcal,"10,00g","0,900g","1,40g","0,40g","0,0g","0,80g","1,25g",Sauce
283,Salade New York Caesar Poulet Rôti,240 kcal,"12,00g","8,000g","10,00g","1,00g","1,0g","23,00g","2,50g",Plat
284,Grand Premium Poulet,725 kcal,"37,00g","10,000g","56,00g","13,00g","4,0g","40,00g","8,50g",Plat
285,Banania Chaud,210 kcal,"8,00g",-,"27,00g",-,,"8,00g","0,00g",Dessert
286,Le M Bacon,630 kcal,"34,00g","13,000g","42,00g","3,00g","3,0g","38,00g","7,25g",Plat
287,Casse Croûte Jambon Fromage ,642 kcal,"26,00g",-,"70,00g",-,,"27,00g","0,01g",Plat
288,California & Chicken,656 kcal,"36,00g",-,"57,00g",-,"3,0g","24,00g","7,50g",Plat
289,P'tit Italien,292 kcal,"12,00g","6,000g","29,00g","5,00g","2,0g","16,00g",-,Plat
290,Chicken Sticks (8),864 kcal,"38,00g","4,000g","74,00g","0,00g","1,0g","56,00g","9,25g",Plat
291,Salade Exotic Chicken & Blé Tandoori,370 kcal,"14,00g","2,000g","28,00g","9,00g","6,0g","30,00g","0,00g",Plat
292,McWrap Veggie & California,610 kcal,"34,00g","8,000g","61,00g","9,00g","2,0g","14,00g","5,50g",Plat
293,McWrap Chicken Tortilla Chips & Mexico,626 kcal,"28,00g","8,000g","66,00g","5,00g","3,0g","26,00g","7,00g",Plat
294,Triple Cheddar Double Beef,1336 kcal,"84,00g","43,000g","55,00g","15,00g","4,0g","88,00g","5,30g",Plat
295,Mcrib,470 kcal,"22,00g","8,500g","42,00g","11,00g","1,9g","24,00g","2,90g",Plat
296,Grand Latte,108 kcal,"4,00g","2,000g","11,00g","11,00g",,"7,00g","0,30g",Dessert
297,Le Mixte,565 kcal,"19,00g",-,"68,00g",-,,"26,00g","8,25g",Plat
298,Red Chili Chicken,495 kcal,"26,00g",-,"35,00g",-,,"29,00g","5,50g",Plat
299,Petit McBaguette,318 kcal,"14,00g",-,"30,00g",-,,"17,00g","2,50g",Plat
300,Sauce Farmer,75 kcal,"5,00g","0,000g","7,00g","6,00g",,"0,00g",-,Sauce
301,Summer Salade,228 kcal,"4,00g","1,000g","27,00g","3,00g","6,0g","18,00g","0,00g",Accompagnement
302,McWrap Fromage Pané,563 kcal,"27,00g",-,"61,00g",-,"4,0g","17,00g","0,01g",Plat
303,P'tite Mangue,29 kcal,"0,10g","0,000g","6,10g","5,90g","0,8g","0,30g","0,00g",Dessert
304,Grand Premium Sauce Chargrill,907 kcal,"55,00g","26,000g","54,00g","15,00g","4,0g","47,00g","7,50g",Plat
305,Le P'tit Campagne,348 kcal,"16,00g","7,000g","32,00g","2,00g","2,0g","18,00g",-,Plat
306,Grand Chicago Bold BBQ,660 kcal,"32,00g","15,000g","53,00g","12,00g","3,8g","39,00g","0,01g",Plat
307,P'tit Tex Mex,285 kcal,"13,00g","4,000g","32,00g","4,00g","2,0g","9,00g","3,00g",Plat
308,280 Recette Fromagère,826 kcal,"46,00g","10,000g","56,00g","56,00g","0,0g","45,00g","8,75g",Plat
309,Muffin Pêche Abricot ,336 kcal,"18,00g","3,000g","38,00g","23,00g","1,0g","5,00g","0,00g",Dessert
310,Sauce Manhattan ,323 kcal,"28,00g","3,100g","15,00g","3,50g","0,0g","1,20g","4,50g",Plat
311,McWrap Crispy Mozza & Italia,537 kcal,"25,00g","7,000g","62,00g","5,00g","2,0g","15,00g","3,25g",Plat
312,McWrap Indian Veggie,443 kcal,"19,00g","4,000g","54,00g","5,00g","6,0g","11,00g","6,25g",Plat
313,Double Cheddar & Smoky Bacon,1270 kcal,"78,00g","38,000g","55,00g","15,00g","4,0g","85,00g","12,25g",Plat
314,Frappé Myrtille,181 kcal,"5,00g","4,000g","33,00g","30,00g",,"4,00g","0,00g",Dessert
315,Mocha,49 kcal,"1,00g","0,600g","7,00g","6,00g","0,0g","2,50g","0,06g",Dessert
316,Sauce Tandoori ,228 kcal,"24,00g","2,000g","3,00g","2,00g","0,0g","0,00g","0,00g",Sauce
317,McWrap Tokyo & Chicken Wasabi,501 kcal,"20,00g","2,700g","59,00g","5,90g","2,5g","20,00g","2,30g",Plat
318,Mcrancher,441 kcal,"21,00g","9,500g","36,00g","9,70g","2,2g","26,00g","5,30g",Plat
